Temporada,Insumo,q,Demanda_Total,CTE
1,Azúcar,165.15934302631578,45.43,140257.49543451986
1,Azúcar,177.6085397368421,45.43,143943.67887971806
1,Azúcar,190.05773644736843,45.43,147705.6370035136
1,Azúcar,202.50693315789474,45.43,151529.39496764055
1,Azúcar,214.95612986842104,45.43,155404.21534810317
1,Azúcar,227.40532657894735,45.43,159321.71198163458
1,Azúcar,239.85452328947366,45.43,163275.23977692655
1,Azúcar,252.30372,45.43,167259.46517385
1,Sal,17.8543075,58.24,199214.26958762127
1,Sal,31.94981342105263,58.24,160869.85344428063
1,Sal,46.045319342105266,58.24,148957.86953664798
1,Sal,60.14082526315789,58.24,144893.0139489912
1,Sal,74.23633118421053,58.24,144205.4034610708
1,Sal,88.33183710526316,58.24,145278.27180173644
1,Sal,102.4273430263158,58.24,147384.81578487458
1,Sal,116.52284894736843,58.24,150149.91118539442
1,Sal,130.61835486842105,58.24,153360.3579041436
1,Sal,144.7138607894737,58.24,156886.0208156655
1,Sal,158.80936671052632,58.24,160642.96661419224
1,Sal,172.90487263157897,58.24,164574.63155018457
1,Sal,187.0003785526316,58.24,168641.5062709493
1,Sal,201.09588447368424,58.24,172815.15881239873
1,Sal,215.19139039473686,58.24,177074.6066333503
1,Sal,229.2868963157895,58.24,181404.02683389588
1,Sal,243.38240223684213,58.24,185791.26205078547
1,Sal,257.4779081578947,58.24,190226.81711710128
1,Sal,271.5734140789474,58.24,194703.16818085656
1,Sal,285.66892,58.24,199214.27636085133
1,Manteca,13.7021625,278.698,4338201.703438715
1,Manteca,24.519659210526317,278.698,4099108.0091423295
1,Manteca,35.337155921052634,278.698,4024831.8860035725
1,Manteca,46.154652631578955,278.698,3999485.979302237
1,Manteca,56.97214934210527,278.698,3995198.6467638416
1,Manteca,67.78964605263158,278.698,4001888.656076341
1,Manteca,78.60714276315791,278.698,4015024.077117806
1,Manteca,89.42463947368422,278.698,4032265.8491801443
1,Manteca,100.24213618421054,278.698,4052284.578047965
1,Manteca,111.05963289473685,278.698,4074268.815304082
1,Manteca,121.87712960526316,278.698,4097695.2007267596
1,Manteca,132.6946263157895,278.698,4122211.0350361327
1,Manteca,143.5121230263158,278.698,4147569.960443752
1,Manteca,154.32961973684212,278.698,4173594.6914383043
1,Manteca,165.14711644736843,278.698,4200154.392860785
1,Manteca,175.96461315789475,278.698,4227150.402132273
1,Manteca,186.78210986842106,278.698,4254506.912869737
1,Manteca,197.59960657894737,278.698,4282164.718628034
1,Manteca,208.4171032894737,278.698,4310076.904957553
1,Manteca,219.2346,278.698,4338205.816839529
2,Harina de Trigo,117.3321,6396.68,11992627.64857449
2,Harina de Trigo,209.9627052631579,6396.68,11302800.969125869
2,Harina de Trigo,302.5933105263158,6396.68,11054744.628200248
2,Harina de Trigo,395.2239157894736,6396.68,10937838.856523644
2,Harina de Trigo,487.8545210526315,6396.68,10877377.633637756
2,Harina de Trigo,580.4851263157894,6396.68,10846339.632993836
2,Harina de Trigo,673.1157315789472,6396.68,10832577.652748872
2,Harina de Trigo,765.7463368421052,6396.68,10829822.169370981
2,Harina de Trigo,858.3769421052631,6396.68,10834509.92847874
2,Harina de Trigo,951.007547368421,6396.68,10844465.956618547
2,Harina de Trigo,1043.638152631579,6396.68,10858287.460261162
2,Harina de Trigo,1136.2687578947368,6396.68,10875029.078549918
2,Harina de Trigo,1228.8993631578946,6396.68,10894030.484052269
2,Harina de Trigo,1321.5299684210527,6396.68,10914816.487868164
2,Harina de Trigo,1414.1605736842105,6396.68,10937036.404739479
2,Harina de Trigo,1506.7911789473685,6396.68,10960425.783487963
2,Harina de Trigo,1599.4217842105263,6396.68,10984781.435756577
2,Harina de Trigo,1692.0523894736841,6396.68,11009944.666989096
2,Harina de Trigo,1784.6829947368421,6396.68,11035789.729595985
2,Harina de Trigo,1877.3136,6396.68,11062215.694590906
2,Azúcar,15.7689825,121.03999999999999,432081.1475820879
2,Azúcar,28.218179210526316,121.03999999999999,334753.90105273644
2,Azúcar,40.66737592105263,121.03999999999999,299625.7422914519
2,Azúcar,53.11657263157895,121.03999999999999,282962.93771131226
2,Azúcar,65.56576934210526,121.03999999999999,274247.2475888806
2,Azúcar,78.01496605263158,121.03999999999999,269674.20223695616
2,Azúcar,90.4641627631579,121.03999999999999,267533.5354658801
2,Azúcar,102.91335947368421,121.03999999999999,266942.52924228
2,Azúcar,115.36255618421052,121.03999999999999,267399.4948997068
2,Azúcar,127.81175289473683,121.03999999999999,268598.2068885098
2,Azúcar,140.26094960526316,121.03999999999999,270341.15878909174
2,Azúcar,152.71014631578947,121.03999999999999,272495.2484491155
2,Azúcar,165.15934302631578,121.03999999999999,274967.5050184559
2,Azúcar,177.6085397368421,121.03999999999999,277691.02424048097
