Temporada,Insumo,q,Muestra,Demanda_Total,CTE
1,Azúcar,1,11,4.9718706620738145,34667.47106277861
1,Azúcar,1,12,53.093873989299595,134550.3309927289
1,Azúcar,1,13,53.60653478443356,135614.41857951842
1,Azúcar,1,14,54.28137867658591,137015.13619919197
1,Azúcar,1,15,74.1047667155443,178160.90225070852
1,Azúcar,1,16,63.71009355458301,156585.53939031603
1,Azúcar,1,17,105.47222703642635,243267.74379851978
1,Azúcar,1,18,19.352012805799127,64515.14206989698
1,Azúcar,1,19,20.449045535076287,66792.16212020248
1,Azúcar,1,20,29.932258299511673,86475.68206418863
1,Azúcar,1,21,28.099643885556606,82671.87598467074
1,Azúcar,1,22,91.43268236480519,214127.0227778212
1,Azúcar,1,23,29.194220165494322,84943.79738636788
1,Azúcar,1,24,32.90414396414712,92644.17919740475
1,Azúcar,1,25,18.240101071685444,62207.23890057671
1,Azúcar,1,26,26.845348316073707,80068.43847136719
1,Azúcar,1,27,44.05752098622943,115794.32087515767
1,Azúcar,1,28,26.316803041506766,78971.38078515198
1,Azúcar,1,29,-20.73129849499987,-18682.470069437633
1,Azúcar,1,30,43.7008054123738,115053.91587879928
1,Azúcar,1,31,36.17659034036038,99436.52532649152
1,Azúcar,1,32,54.880438757826994,138258.55563410927
1,Azúcar,1,33,60.51308103603377,149949.7650769909
1,Azúcar,1,34,41.018721839325835,109486.93696427837
1,Azúcar,1,35,23.375595881816672,72866.56048582574
1,Azúcar,1,36,77.10625574367884,184390.8446356888
1,Azúcar,1,37,40.4562806706691,108319.52437578386
1,Azúcar,1,38,45.91246400261363,119644.47258691568
1,Azúcar,1,39,72.893041065139,175645.82359552532
1,Azúcar,1,40,28.45800509331437,83415.696687134
1,Azúcar,1,41,45.208060912946934,118182.40138715752
1,Azúcar,1,42,51.746744828337306,131754.2064761126
1,Azúcar,1,43,50.77930811983609,129746.17816130532
1,Azúcar,1,44,55.19046763467308,138902.05691708138
1,Azúcar,1,45,8.858400996963912,42734.42044586261
1,Azúcar,1,46,32.68438776758239,92188.04944630201
1,Azúcar,1,47,20.813846817280012,67549.34995223953
1,Azúcar,1,48,69.73858184303651,169098.3736381013
1,Azúcar,1,49,16.59240546744213,58787.253491267744
1,Azúcar,1,50,37.1059929084612,101365.60932361659
1,Azúcar,2,1,2.1109469919530817,42002.10814149532
1,Azúcar,2,2,51.24245285941073,134928.6136938894
1,Azúcar,2,3,58.44812682946754,148557.30449757868
1,Azúcar,2,4,27.3173362111156,89677.04963523378
1,Azúcar,2,5,57.17018738859394,146140.2312886213
1,Azúcar,2,6,32.57037291675805,99612.55509095274
1,Azúcar,2,7,19.98110614855763,75801.42722950004
1,Azúcar,2,8,26.510495048309444,88151.00380228757
1,Azúcar,2,9,75.5092215563876,180826.37270297983
1,Azúcar,2,10,41.573525619398296,116640.96699975798
1,Azúcar,2,11,4.9718706620738145,47413.2111521307
1,Azúcar,2,12,53.093873989299595,138430.36054387534
1,Azúcar,2,13,53.60653478443356,139399.99856706214
1,Azúcar,2,14,54.28137867658591,140676.38697779537
1,Azúcar,2,15,74.1047667155443,178170.01039001122
1,Azúcar,2,16,63.71009355458301,158509.7000422434
1,Azúcar,2,17,105.47222703642635,237497.89835535063
1,Azúcar,2,18,19.352012805799127,74611.57063999253
1,Azúcar,2,19,20.449045535076287,76686.47993105609
1,Azúcar,2,20,29.932258299511673,94622.86938319645
1,Azúcar,2,21,28.099643885556606,91156.69324006727
1,Azúcar,2,22,91.43268236480519,210943.7392094853
1,Azúcar,2,23,29.194220165494322,93226.95644408035
1,Azúcar,2,24,32.90414396414712,100243.84404782088
1,Azúcar,2,25,18.240101071685444,72508.51944891708
1,Azúcar,2,26,26.845348316073707,88784.33965260888
1,Azúcar,2,27,44.05752098622943,121339.15414408575
1,Azúcar,2,28,26.316803041506766,87784.65799163483
1,Azúcar,2,29,-20.73129849499987,-1201.3315779948057
1,Azúcar,2,30,43.7008054123738,120664.46829497
1,Azúcar,2,31,36.17659034036038,106433.29419757727
1,Azúcar,2,32,54.880438757826994,141809.43916056064
1,Azúcar,2,33,60.51308103603377,152462.9242247569
1,Azúcar,2,34,41.018721839325835,115591.62044220536
1,Azúcar,2,35,23.375595881816672,82221.70813634219
1,Azúcar,2,36,77.10625574367884,183846.97635948166
1,Azúcar,2,37,40.4562806706691,114527.82865607382
1,Azúcar,2,38,45.91246400261363,124847.56223107608
1,Azúcar,2,39,72.893041065139,175878.1728329835
1,Azúcar,2,40,28.45800509331437,91834.49161352444
1,Azúcar,2,41,45.208060912946934,123515.26605029909
1,Azúcar,2,42,51.746744828337306,135882.42305965367
1,Azúcar,2,43,50.77930811983609,134052.62950708775
