Temporada,Insumo,q,Muestra,Demanda_Total,CTE
2,Harina de Trigo,4,25,6512.864782972634,11055194.469919907
2,Harina de Trigo,4,26,2906.9723672378495,5079299.923307448
2,Harina de Trigo,4,27,11858.29041085653,19913944.586701907
2,Harina de Trigo,4,28,4187.2692965214255,7201082.426957476
2,Harina de Trigo,4,29,7632.9664685825555,12911492.102505758
2,Harina de Trigo,4,30,5654.265478420029,9632273.786149139
2,Harina de Trigo,4,31,7512.849383234706,12712427.085437318
2,Harina de Trigo,4,32,3197.839436414718,5561341.7404449675
2,Harina de Trigo,4,33,3960.7602294400576,6825698.432464674
2,Harina de Trigo,4,34,8427.11286538112,14227597.680456957
2,Harina de Trigo,4,35,2601.3787136770243,4572852.354371483
2,Harina de Trigo,4,36,12176.776605583384,20441758.42439005
2,Harina de Trigo,4,37,10069.766635612486,16949899.007214013
2,Harina de Trigo,4,38,9222.341459510877,15545496.738740962
2,Harina de Trigo,4,39,14101.105121093053,23630867.514707096
2,Harina de Trigo,4,40,5427.729495952568,9256845.185913729
2,Harina de Trigo,4,41,4406.477616343007,7564367.1986488495
2,Harina de Trigo,4,42,4247.586991904114,7301044.418426983
2,Harina de Trigo,4,43,8287.69858678959,13996552.2328669
2,Harina de Trigo,4,44,5751.945118055911,9794154.1637411
2,Harina de Trigo,4,45,8715.098435746275,14704864.110242417
2,Harina de Trigo,4,46,7733.950272225939,13078848.332784666
2,Harina de Trigo,4,47,8559.457312387975,14446926.592127092
2,Harina de Trigo,4,48,8673.410980552087,14635777.235916931
2,Harina de Trigo,4,49,4166.569586971471,7166777.664875208
2,Harina de Trigo,4,50,8803.10411417822,14850712.236913504
2,Azúcar,1,1,69.81072054891169,169248.10597998786
2,Azúcar,1,2,154.31488746329268,344646.4120316168
2,Azúcar,1,3,164.64563674352428,366089.0933828525
2,Azúcar,1,4,72.55081730422594,174935.4980560098
2,Azúcar,1,5,19.980339198454846,65819.30716545972
2,Azúcar,1,6,109.37016662735164,251358.3744301736
2,Azúcar,1,7,139.55733371113044,314015.37898187723
2,Azúcar,1,8,93.21666565568162,217829.88925967377
2,Azúcar,1,9,48.15951105747856,124308.48220245261
2,Azúcar,1,10,82.15502245283508,194870.15187900013
2,Azúcar,1,11,92.24977336814234,215822.99095440318
2,Azúcar,1,12,93.49449939795333,218406.56576614495
2,Azúcar,1,13,-1.6006393954854659,21025.45584983404
2,Azúcar,1,14,172.79493683369975,383003.9211779292
2,Azúcar,1,15,-3.4117385723858007,17266.30716735933
2,Azúcar,1,16,31.95465573599998,90673.40505792706
